forename,surname,constructor_name,combo_name,races_together,total_points,wins,podiums
Lewis,Hamilton,Mercedes,"Lewis Hamilton - Mercedes",246,3864,84,153
Max,Verstappen,"Red Bull","Max Verstappen - Red Bull",186,2835,63,112
Michael,Schumacher,Ferrari,"Michael Schumacher - Ferrari",181,2823,72,116
Sebastian,Vettel,"Red Bull","Sebastian Vettel - Red Bull",113,1695,38,65
Nico,Rosberg,Mercedes,"Nico Rosberg - Mercedes",136,1519,23,55
Alain,Prost,McLaren,"Alain Prost - McLaren",109,1445,30,63
Kimi,Räikkönen,Ferrari,"Kimi Räikkönen - Ferrari",152,1431,10,52
Sebastian,Vettel,Ferrari,"Sebastian Vettel - Ferrari",119,1398,14,55
David,Coulthard,McLaren,"David Coulthard - McLaren",150,1336,12,51
Ayrton,Senna,McLaren,"Ayrton Senna - McLaren",96,1324,35,55
Charles,Leclerc,Ferrari,"Charles Leclerc - Ferrari",128,1316,8,43
Valtteri,Bottas,Mercedes,"Valtteri Bottas - Mercedes",101,1313,10,58
Mika,Häkkinen,McLaren,"Mika Häkkinen - McLaren",133,1302,20,51
Lewis,Hamilton,McLaren,"Lewis Hamilton - McLaren",110,1291,21,49
Felipe,Massa,Ferrari,"Felipe Massa - Ferrari",140,1221,11,36
Fernando,Alonso,Ferrari,"Fernando Alonso - Ferrari",96,1188,11,44
Rubens,Barrichello,Ferrari,"Rubens Barrichello - Ferrari",104,1160,9,55
Fernando,Alonso,Renault,"Fernando Alonso - Renault",106,1153,17,41
Mark,Webber,"Red Bull","Mark Webber - Red Bull",129,1152,9,41
Nigel,Mansell,Williams,"Nigel Mansell - Williams",97,1081,28,43
