current_year,constructor_name
1960,Cooper-Climax
1967,Brabham-Repco
1973,"Team Lotus"
1976,Ferrari
1977,Ferrari
1981,Williams
1983,Ferrari
1985,McLaren
1987,Williams
1989,McLaren
1990,McLaren
1991,McLaren
1993,Williams
1994,Williams
1997,Williams
2000,Ferrari
2001,Ferrari
2002,Ferrari
2003,Ferrari
2004,Ferrari
2006,Renault
2008,Ferrari
2011,"Red Bull"
2012,"Red Bull"
2013,"Red Bull"
2015,Mercedes
2016,Mercedes
2017,Mercedes
2018,Mercedes
2019,Mercedes
2020,Mercedes
2021,Mercedes
2023,"Red Bull"
