driverId,driver_name,total_races,avg_qualifying_pos,avg_finish_position,avg_position_loss
1,"Lewis Hamilton",355,4.31,5.01,0.70
8,"Kimi Räikkönen",347,7.64,8.40,0.76
22,"Rubens Barrichello",325,8.91,10.28,1.37
30,"Michael Schumacher",308,4.87,6.88,2.01
20,"Sebastian Vettel",298,6.31,7.03,0.72
13,"Felipe Massa",269,8.44,8.91,0.48
119,"Riccardo Patrese",257,9.28,12.73,3.45
15,"Jarno Trulli",256,10.40,12.36,1.96
817,"Daniel Ricciardo",256,9.99,10.18,0.19
14,"David Coulthard",247,7.68,9.49,1.81
822,"Valtteri Bottas",243,7.99,8.90,0.91
807,"Nico Hülkenberg",226,10.68,11.88,1.20
17,"Mark Webber",217,8.26,9.79,1.53
77,"Gerhard Berger",210,6.37,10.91,4.54
110,"Andrea de Cesaris",208,14.40,15.65,1.25
830,"Max Verstappen",208,4.98,5.59,0.61
3,"Nico Rosberg",206,6.90,8.25,1.35
832,"Carlos Sainz",206,8.67,9.24,0.57
137,"Nelson Piquet",204,6.70,9.77,3.07
55,"Jean Alesi",202,9.03,11.25,2.22
117,"Alain Prost",201,4.16,7.42,3.26
95,"Nigel Mansell",188,6.41,10.89,4.48
23,"Ralf Schumacher",180,7.83,9.87,2.04
825,"Kevin Magnussen",180,13.36,13.51,0.14
154,"Romain Grosjean",179,11.84,13.13,1.29
172,"Jacques Laffite",177,11.47,11.94,0.46
182,"Niki Lauda",172,8.43,10.74,2.31
35,"Jacques Villeneuve",165,9.14,10.25,1.12
57,"Mika Häkkinen",163,7.16,9.67,2.52
102,"Ayrton Senna",161,3.15,8.14,4.99
49,"Heinz-Harald Frentzen",157,8.90,10.94,2.04
163,"René Arnoux",149,10.62,12.28,1.66
842,"Pierre Gasly",149,11.06,11.12,0.06
844,"Charles Leclerc",148,6.49,7.47,0.99
118,"Derek Warwick",148,11.74,13.67,1.93
56,"Eddie Irvine",147,9.31,11.01,1.69
199,"Carlos Reutemann",146,7.20,10.00,2.80
223,"Clay Regazzoni",131,8.55,10.40,1.85
846,"Lando Norris",128,7.26,7.85,0.59
356,"Jack Brabham",128,7.45,9.15,1.70
207,"Mario Andretti",128,8.56,12.45,3.89
847,"George Russell",125,10.15,10.40,0.25
238,"Ronnie Peterson",123,8.43,11.36,2.93
175,"Patrick Tambay",117,10.93,12.74,1.80
71,"Damon Hill",116,6.09,8.91,2.82
235,"Jacky Ickx",115,9.89,10.69,0.80
177,"Keke Rosberg",114,10.13,11.75,1.62
304,"Denny Hulme",112,7.25,8.21,0.96
222,"Jody Scheckter",112,7.96,9.14,1.19
341,"John Surtees",112,7.66,10.34,2.68
826,"Daniil Kvyat",111,12.03,12.14,0.11
173,"Elio de Angelis",108,11.08,11.72,0.64
360,"Bruce McLaren",102,8.35,8.67,0.31
848,"Alexander Albon",102,11.75,11.94,0.19
328,"Jackie Stewart",100,4.50,7.41,2.91
278,"Chris Amon",99,9.04,11.34,2.30
813,"Pastor Maldonado",96,14.17,15.01,0.84
9,"Robert Kubica",96,9.90,10.46,0.56
221,"Patrick Depailler",95,9.32,11.11,1.79
31,"Juan Pablo Montoya",95,5.37,8.53,3.16
122,"Ivan Capelli",95,15.18,16.46,1.28
231,"James Hunt",92,7.00,11.39,4.39
364,"Dan Gurney",86,6.83,9.64,2.81
852,"Yuki Tsunoda",86,12.70,13.42,0.72
145,"Alessandro Nannini",77,12.52,14.81,2.29
233,"Hans-Joachim Stuck",74,14.45,15.19,0.74
230,"Vittorio Brambilla",74,13.31,14.64,1.32
373,"Jim Clark",73,3.60,7.10,3.49
475,"Stirling Moss",73,5.18,9.07,3.89
250,"Carlos Pace",72,10.81,13.06,2.25
202,"Didier Pironi",71,10.04,11.03,0.99
131,"Stefano Modena",70,15.10,15.41,0.31
152,"Bruno Giacomelli",69,12.48,14.80,2.32
203,"Gilles Villeneuve",67,7.79,10.64,2.85
170,"Teo Fabi",64,11.06,15.14,4.08
501,"Harry Schell",63,10.56,10.95,0.40
358,"Jochen Rindt",60,6.45,9.67,3.22
579,"Juan Fangio",58,2.48,4.79,2.31
554,"Jean Behra",57,8.11,10.67,2.56
386,"Richie Ginther",53,7.47,7.75,0.28
32,"Christian Klien",51,13.16,13.67,0.51
305,"Mike Hailwood",50,12.34,13.12,0.78
404,"Innes Ireland",50,10.18,11.24,1.06
219,"Jean-Pierre Jabouille",49,9.49,16.14,6.65
181,"Manfred Winkelhock",48,14.75,16.56,1.81
578,"Mike Hawthorn",47,5.83,6.83,1.00
456,"Roy Salvadori",47,12.51,12.62,0.11
327,"François Cevert",46,8.93,9.54,0.61
857,"Oscar Piastri",46,7.43,7.89,0.46
252,"Tom Pryce",42,11.62,11.95,0.33
385,"Lorenzo Bandini",42,8.62,9.31,0.69
91,"Karl Wendlinger",41,14.44,14.83,0.39
479,"Tony Brooks",40,6.30,10.70,4.40
642,"Nino Farina",37,3.19,5.84,2.65
139,"Emanuele Pirro",37,16.19,16.32,0.14
647,"Alberto Ascari",36,4.58,8.44,3.86
581,"Peter Collins",35,8.94,10.29,1.34
633,"Luigi Villoresi",35,7.34,9.89,2.54
255,"Gunnar Nilsson",32,11.78,14.09,2.31
309,"Peter Revson",30,8.17,9.87,1.70
